2025-04-21 23:49:56.474 | INFO     | common.log.logger:wrapper:103 | 开始执行函数: start_browser
2025-04-21 23:49:56.475 | INFO     | common.log.logger:wrapper:104 | 参数: args=(<common.selenium.selenium_service_normal.SeleniumServiceNormal object at 0x0000012C2AD6AE10>, SeleniumConfig(is_headless=False, is_cdp=True, is_dev=True, proxy='127.0.0.1:7890', driver=None)), kwargs={}
2025-04-21 23:49:56.475 | INFO     | common.selenium.selenium_service_normal:start_browser:48 | 启动CDP模式
2025-04-21 23:49:56.476 | INFO     | common.selenium.selenium_service_normal:start_browser:53 | 设置代理: 127.0.0.1:7890
2025-04-21 23:49:57.579 | DEBUG    | common.selenium.selenium_service_normal:start_browser:68 | 使用User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.319.74 Safari/537.36 Edg/102.0.319.74
2025-04-21 23:49:58.875 | INFO     | common.selenium.selenium_service_normal:start_browser:83 | 浏览器启动成功
2025-04-21 23:49:58.875 | INFO     | common.log.logger:wrapper:109 | 函数 start_browser 执行成功，耗时: 2.399秒
2025-04-21 23:50:00.442 | INFO     | common.log.logger:wrapper:103 | 开始执行函数: click
2025-04-21 23:50:00.442 | INFO     | common.log.logger:wrapper:104 | 参数: args=(<common.selenium.selenium_service_normal.SeleniumServiceNormal object at 0x0000012C2AD6AE10>, 'xpath', '//*[@id="left-menu"]/div/div[1]/div[2]/button'), kwargs={}
2025-04-21 23:50:00.444 | INFO     | common.log.logger:wrapper:103 | 开始执行函数: find_element
2025-04-21 23:50:00.444 | INFO     | common.log.logger:wrapper:104 | 参数: args=(<common.selenium.selenium_service_normal.SeleniumServiceNormal object at 0x0000012C2AD6AE10>, 'xpath', '//*[@id="left-menu"]/div/div[1]/div[2]/button'), kwargs={}
2025-04-21 23:50:00.458 | INFO     | common.log.logger:wrapper:109 | 函数 find_element 执行成功，耗时: 0.013秒
2025-04-21 23:50:00.541 | INFO     | common.log.logger:wrapper:109 | 函数 click 执行成功，耗时: 0.098秒
2025-04-21 23:50:01.542 | INFO     | common.log.logger:wrapper:103 | 开始执行函数: click
2025-04-21 23:50:01.542 | INFO     | common.log.logger:wrapper:104 | 参数: args=(<common.selenium.selenium_service_normal.SeleniumServiceNormal object at 0x0000012C2AD6AE10>, 'xpath', '/html/body/div[16]/div[3]/div[2]/div/div[2]/div[2]/button'), kwargs={}
2025-04-21 23:50:01.542 | INFO     | common.log.logger:wrapper:103 | 开始执行函数: find_element
